"Step","robust-dream-992 - std_entropy_0","robust-dream-992 - std_entropy_0__MIN","robust-dream-992 - std_entropy_0__MAX"
"1","0.002830392913892865","0.002830392913892865","0.002830392913892865"
"3","0.012591616250574589","0.012591616250574589","0.012591616250574589"
"5","0.021018264815211296","0.021018264815211296","0.021018264815211296"
"7","0.03580271825194359","0.03580271825194359","0.03580271825194359"
"9","0.04714743047952652","0.04714743047952652","0.04714743047952652"
"11","0.06536038219928741","0.06536038219928741","0.06536038219928741"
"13","0.09106435626745224","0.09106435626745224","0.09106435626745224"
"15","0.09928345680236816","0.09928345680236816","0.09928345680236816"
"17","0.11658614873886108","0.11658614873886108","0.11658614873886108"
"19","0.12708327174186707","0.12708327174186707","0.12708327174186707"
"21","0.1456030011177063","0.1456030011177063","0.1456030011177063"
"23","0.15810035169124603","0.15810035169124603","0.15810035169124603"
"25","0.16988413035869598","0.16988413035869598","0.16988413035869598"
"27","0.1741882860660553","0.1741882860660553","0.1741882860660553"
"29","0.16912898421287537","0.16912898421287537","0.16912898421287537"
"31","0.18342013657093048","0.18342013657093048","0.18342013657093048"
"33","0.17497937381267548","0.17497937381267548","0.17497937381267548"
"35","0.19192802906036377","0.19192802906036377","0.19192802906036377"
"37","0.180058091878891","0.180058091878891","0.180058091878891"
"39","0.16197404265403748","0.16197404265403748","0.16197404265403748"
"41","0.17481625080108643","0.17481625080108643","0.17481625080108643"
"43","0.15477001667022705","0.15477001667022705","0.15477001667022705"
"45","0.1735108643770218","0.1735108643770218","0.1735108643770218"
"47","0.15017738938331604","0.15017738938331604","0.15017738938331604"
"49","0.12965267896652222","0.12965267896652222","0.12965267896652222"
"51","0.1440296173095703","0.1440296173095703","0.1440296173095703"
"53","0.1224643886089325","0.1224643886089325","0.1224643886089325"
"55","0.13858118653297424","0.13858118653297424","0.13858118653297424"
"57","0.11069760471582413","0.11069760471582413","0.11069760471582413"
"59","0.09484060108661652","0.09484060108661652","0.09484060108661652"
"61","0.11055144667625427","0.11055144667625427","0.11055144667625427"
"63","0.09274981915950775","0.09274981915950775","0.09274981915950775"
"65","0.10369764268398285","0.10369764268398285","0.10369764268398285"
"67","0.07659517228603363","0.07659517228603363","0.07659517228603363"
"69","0.06686638295650482","0.06686638295650482","0.06686638295650482"
"71","0.08225465565919876","0.08225465565919876","0.08225465565919876"
"73","0.06958311051130295","0.06958311051130295","0.06958311051130295"
"75","0.07550622522830963","0.07550622522830963","0.07550622522830963"
"77","0.05177120119333267","0.05177120119333267","0.05177120119333267"
"79","0.04693286493420601","0.04693286493420601","0.04693286493420601"
"81","0.060577645897865295","0.060577645897865295","0.060577645897865295"
"83","0.05258338525891304","0.05258338525891304","0.05258338525891304"
"85","0.05484135448932648","0.05484135448932648","0.05484135448932648"
"87","0.03510501608252525","0.03510501608252525","0.03510501608252525"
"89","0.03343984857201576","0.03343984857201576","0.03343984857201576"
"91","0.044764552265405655","0.044764552265405655","0.044764552265405655"
"93","0.04042182117700577","0.04042182117700577","0.04042182117700577"
"95","0.04029851406812668","0.04029851406812668","0.04029851406812668"
"97","0.02433852292597294","0.02433852292597294","0.02433852292597294"
"99","0.024568645283579826","0.024568645283579826","0.024568645283579826"
"101","0.033669572323560715","0.033669572323560715","0.033669572323560715"
